"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2507                1.275658e+00        3.600000e+01        5.916080e+00        2.395113e+01        1.712484e+01        
2508                1.281821e+00        2.300000e+01        4.690416e+00        2.458280e+01        1.745303e+01        
2509                1.287983e+00        2.100000e+01        4.472136e+00        2.524023e+01        1.779560e+01        
2510                1.294146e+00        1.900000e+01        4.242641e+00        2.592428e+01        1.815301e+01        
2511                1.300309e+00        2.400000e+01        4.795832e+00        2.663585e+01        1.852604e+01        
2512                1.306471e+00        2.200000e+01        4.582576e+00        2.737590e+01        1.891486e+01        
2513                1.312634e+00        2.000000e+01        4.358899e+00        2.814538e+01        1.932042e+01        
2514                1.318796e+00        3.000000e+01        5.385165e+00        2.894531e+01        1.974299e+01        
2515                1.324959e+00        2.700000e+01        5.099020e+00        2.977674e+01        2.018348e+01        
2516                1.331122e+00        2.700000e+01        5.099020e+00        3.064079e+01        2.064260e+01        
2517                1.337284e+00        1.700000e+01        4.000000e+00        3.153863e+01        2.112060e+01        
2518                1.343447e+00        3.200000e+01        5.567764e+00        3.247149e+01        2.161859e+01        
2519                1.349609e+00        3.700000e+01        6.000000e+00        3.344069e+01        2.213687e+01        
2520                1.355772e+00        2.400000e+01        4.795832e+00        3.444765e+01        2.267658e+01        
2521                1.361935e+00        2.300000e+01        4.690416e+00        3.549388e+01        2.323836e+01        
2522                1.368097e+00        1.900000e+01        4.242641e+00        3.658103e+01        2.382295e+01        
2523                1.374260e+00        3.000000e+01        5.385165e+00        3.771090e+01        2.443156e+01        
2524                1.380422e+00        3.000000e+01        5.385165e+00        3.888548e+01        2.506452e+01        
2525                1.386585e+00        2.500000e+01        4.898979e+00        4.010693e+01        2.572339e+01        
2526                1.392748e+00        4.000000e+01        6.244998e+00        4.137770e+01        2.640866e+01        
2527                1.398910e+00        3.100000e+01        5.477226e+00        4.270049e+01        2.712201e+01        
2528                1.405073e+00        2.100000e+01        4.472136e+00        4.407836e+01        2.786475e+01        
2529                1.411235e+00        2.600000e+01        5.000000e+00        4.551477e+01        2.863746e+01        
2530                1.417398e+00        2.900000e+01        5.291503e+00        4.701362e+01        2.944239e+01        
2531                1.423561e+00        3.400000e+01        5.744563e+00        4.857940e+01        3.028025e+01        
2532                1.429723e+00        3.100000e+01        5.477226e+00        5.021718e+01        3.115375e+01        
2533                1.435886e+00        3.200000e+01        5.567764e+00        5.193283e+01        3.206437e+01        
2534                1.442048e+00        4.700000e+01        6.782330e+00        5.373304e+01        3.301424e+01        
2535                1.448211e+00        3.700000e+01        6.000000e+00        5.562553e+01        3.400657e+01        
2536                1.454374e+00        2.800000e+01        5.196152e+00        5.761918e+01        3.504257e+01        
2537                1.460536e+00        3.600000e+01        5.916080e+00        5.972423e+01        3.612708e+01        
2538                1.466699e+00        2.900000e+01        5.291503e+00        6.195246e+01        3.726163e+01        
2539                1.472861e+00        4.000000e+01        6.244998e+00        6.431745e+01        3.845240e+01        
2540                1.479024e+00        3.300000e+01        5.656854e+00        6.683485e+01        3.970413e+01        
2541                1.485187e+00        4.300000e+01        6.480741e+00        6.952267e+01        4.101933e+01        
2542                1.491349e+00        3.600000e+01        5.916080e+00        7.240161e+01        4.240711e+01        
2543                1.497512e+00        4.000000e+01        6.244998e+00        7.549545e+01        4.387040e+01        
2544                1.503674e+00        4.000000e+01        6.244998e+00        7.883150e+01        4.542129e+01        
2545                1.509837e+00        5.100000e+01        7.071068e+00        8.244103e+01        4.706643e+01        
2546                1.516000e+00        5.300000e+01        7.211103e+00        8.635979e+01        4.881578e+01        
2547                1.522162e+00        4.000000e+01        6.244998e+00        9.062864e+01        5.068444e+01        
2548                1.528325e+00        4.800000e+01        6.855655e+00        9.529414e+01        5.267840e+01        
2549                1.534487e+00        4.000000e+01        6.244998e+00        1.004093e+02        5.482114e+01        
2550                1.540650e+00        6.200000e+01        7.810250e+00        1.060342e+02        5.712029e+01        
2551                1.546813e+00        4.200000e+01        6.403124e+00        1.122371e+02        5.960572e+01        
2552                1.552975e+00        5.800000e+01        7.549834e+00        1.190950e+02        6.230091e+01        
2553                1.559138e+00        6.400000e+01        7.937254e+00        1.266950e+02        6.521787e+01        
2554                1.565300e+00        5.800000e+01        7.549834e+00        1.351349e+02        6.840087e+01        
2555                1.571463e+00        6.000000e+01        7.681146e+00        1.445249e+02        7.186396e+01        
2556                1.577626e+00        7.100000e+01        8.366600e+00        1.549882e+02        7.566423e+01        
2557                1.583788e+00        7.400000e+01        8.544004e+00        1.666626e+02        7.983392e+01        
2558                1.589951e+00        8.400000e+01        9.110434e+00        1.797019e+02        8.441641e+01        
2559                1.596113e+00        7.600000e+01        8.660254e+00        1.942771e+02        8.948170e+01        
2560                1.602276e+00        8.000000e+01        8.888194e+00        2.105780e+02        9.505534e+01        
2561                1.608439e+00        9.300000e+01        9.591663e+00        2.288149e+02        1.012397e+02        
2562                1.614601e+00        9.700000e+01        9.797959e+00        2.492195e+02        1.080696e+02        
